,Bus_Station_Name,Location,Postcode
42,Ballarat St/Francis St (Yarraville),"-37.821117, 144.890136",3013
43,Bunninyong St/Francis St (Yarraville),"-37.820816, 144.887407",3013
44,271 Narre Warren North Rd (Narre Warren),"-37.999402, 145.312015",3805
45,Hansen Reserve/Roberts St (West Footscray),"-37.805225, 144.870882",3012
46,Indwe St/Roberts St (West Footscray),"-37.803187, 144.871304",3012
47,Merrill Dr/McDonalds Rd (Epping),"-37.646488, 145.046066",3076
48,Sunshine Rd/Roberts St (West Footscray),"-37.801137, 144.871533",3012
49,Stradbroke St/Sunshine Rd (West Footscray),"-37.801528, 144.879211",3012
50,West Footscray Station/Sunshine Rd (West Footscray),"-37.802351, 144.883424",3012
51,Ross St/Bridge St (Port Melbourne),"-37.834241, 144.940189",3207
52,Station St/Bridge St (Port Melbourne),"-37.835433, 144.941349",3207
53,Bay Street Shops/Bridge St (Port Melbourne),"-37.836749, 144.943425",3207
54,Cruikshank St/Liardet St (Port Melbourne),"-37.840308, 144.944952",3207
55,Bridport St/Richardson St (Albert Park),"-37.842237, 144.948603",3207
56,Albert Park Shops/Richardson St (Albert Park),"-37.844104, 144.951778",3206
57,Kerferd Rd/Richardson St (Albert Park),"-37.846284, 144.955355",3206
58,Meadow Glen Dr/McDonalds Rd (Epping),"-37.647123, 145.05175",3082
59,Middle Park PS/Richardson St (Middle Park),"-37.847543, 144.95782",3206
60,Wright St/Richardson St (Middle Park),"-37.84814, 144.959008",3206
61,Nimmo St/Richardson St (Middle Park),"-37.849865, 144.96229",3206
62,Armstrong St/Richardson St (Middle Park),"-37.850675, 144.963848",3206
63,Armstrong St/Danks St (Middle Park),"-37.853122, 144.962553",3206
64,Langridge St/Patterson St (Middle Park),"-37.854834, 144.965677",3206
65,Fraser St/Park St (St Kilda West),"-37.855497, 144.966977",3206
66,Jacoby Reserve/Park St (St Kilda West),"-37.857547, 144.970888",3182
67,Sarnia Ct/Kurrajong Rd (Narre Warren),"-38.002226, 145.312862",3805
68,High St/Memorial Ave (Epping),"-37.644873, 145.028087",3076
69,Bridle Ct/Meadow Glen Dr (Epping),"-37.646041, 145.0512",3082
70,Watermoor Ave/Eycot St (Kilsyth South),"-37.837354, 145.30367",3154
71,Watermoor Ave/Rendcomb St (Kilsyth South),"-37.836391, 145.30442",3154
72,Bibury Ct/Rendcomb St (Kilsyth South),"-37.83536, 145.306659",3154
73,Collier Rd/Rendcomb St (Kilsyth South),"-37.834019, 145.306758",3154
74,Watermoor Ave/Collier Rd (Kilsyth South),"-37.833346, 145.305137",3137
75,Colchester Rd/Collier Rd (Kilsyth South),"-37.832798, 145.302695",3137
76,Colchester Rd/Allambanan Dr (Bayswater North),"-37.833168, 145.301505",3137
77,Toolimerin Ave/Allambanan Dr (Bayswater North),"-37.832361, 145.299921",3137
78,Bagora Ct/Allambanan Dr (Bayswater North),"-37.831554, 145.298304",3137
79,Canterbury Gardens/Allambanan Dr (Bayswater North),"-37.831506, 145.294998",3137
80,Derby Dr/Meadow Glen Dr (Epping),"-37.643831, 145.05161",3082
81,Aylesbury Ave/Blandford Cres (Bayswater North),"-37.831037, 145.292498",3137
82,Sherbourne Ave/Blandford Cres (Bayswater North),"-37.830158, 145.292813",3137
83,Stuart St/Blandford Cres (Bayswater North),"-37.828163, 145.293825",3137
84,Bayswater North PS/Stuart St (Bayswater North),"-37.82753, 145.294874",3137
85,Burdekin Ave/Colbury Rd (Bayswater North),"-37.828788, 145.296481",3137
86,Grant Dr/Burdekin Ave (Bayswater North),"-37.827735, 145.297232",3137
87,Leighton Rd/Burdekin Ave (Bayswater North),"-37.825632, 145.297656",3137
88,Anderson Cl/Burdekin Ave (Bayswater North),"-37.824665, 145.300586",3137
89,Colchester Rd/Burdekin Ave (Bayswater North),"-37.826477, 145.303113",3137
90,Canterbury Rd/Colchester Rd (Bayswater North),"-37.823793, 145.303822",3137
91,Glendale Ave/Derby Dr (Epping),"-37.643101, 145.048308",3076
92,Garden St/Liverpool Rd (Kilsyth),"-37.816965, 145.316668",3137
93,Lade Ave/Liverpool Rd (Kilsyth),"-37.815792, 145.316524",3137
94,Kilsyth Sports Centre/Liverpool Rd (Kilsyth),"-37.812433, 145.316089",3137
95,Orchard St/Liverpool Rd (Kilsyth),"-37.81125, 145.315923",3137
96,Luscombe Ct/Liverpool Rd (Kilsyth),"-37.80985, 145.315727",3137
97,Pleasant St/Liverpool Rd (Kilsyth),"-37.806401, 145.315261",3137
98,Mt Dandenong Rd/Liverpool Rd (Kilsyth),"-37.803111, 145.314563",3137
99,Winchester Ave/Derby Dr (Epping),"-37.642654, 145.044206",3076
100,Belvedere Dr/Swansea Rd (Montrose),"-37.806501, 145.350959",3765
101,Greenhills Ave/Cambridge Rd (Montrose),"-37.803546, 145.346572",3765
102,Emery Lane/Cambridge Rd (Montrose),"-37.802827, 145.344794",3765
103,Montrose Brickworks Flora Reserve/Cambridge Rd (Montrose),"-37.801551, 145.340518",3765
104,Acacia Ave/Cambridge Rd (Kilsyth),"-37.801223, 145.337106",3765
105,Alpine Way/Cambridge Rd (Kilsyth),"-37.80091, 145.334103",3765
106,Chittenup Bend/Overton Lea Bvd (Sydenham),"-37.706123, 144.765694",3037
107,Hume Dr/Overton Lea Bvd (Sydenham),"-37.709096, 144.768021",3037
108,Hume Dr/Copperfield Dr (Delahey),"-37.710393, 144.770863",3037
109,Nicholson St/Johnston St (Abbotsford),"-37.800265, 144.998067",3067
110,Northumberland Dr/Derby Dr (Epping),"-37.64261, 145.042076",3076
111,Yellow Gum Rd/Copperfield Dr (Delahey),"-37.713872, 144.771859",3037
112,Copperfield College/Copperfield Dr (Delahey),"-37.718602, 144.770844",3037
113,Rex St/Taylors Rd (Delahey),"-37.726862, 144.77636",3037
114,Longfellow Dr/Taylors Rd (Delahey),"-37.726612, 144.77411",3037
115,Scarborough Rd/McDonalds Rd (Epping),"-37.64544, 145.035031",3076
116,Rialto St/Main Rd West (St Albans),"-37.741646, 144.776145",3021
117,Kings Rd/Main Rd West (St Albans),"-37.742121, 144.780295",3021
118,Buchanan St/Main Rd West (St Albans),"-37.74249, 144.783654",3021
119,Cleveland St/Main Rd West (St Albans),"-37.742844, 144.787139",3021
120,Church St/High St (Epping),"-37.64553, 145.026381",3076
121,Carberry Dr/Gisborne-Melton Rd (Kurunjang),"-37.67309, 144.598156",3337
122,Riddle Dr/Centenary Ave (Melton),"-37.67588, 144.594449",3337
123,Raleighs Rd/Centenary Ave (Melton),"-37.675228, 144.589017",3337
124,Kurunjang Dr/Centenary Ave (Melton),"-37.674541, 144.584935",3337
125,Melton Cemetery/O'Neills Rd (Melton),"-37.674869, 144.578111",3337
126,Cassia Rd/O'Neills Rd (Melton),"-37.678308, 144.577477",3337
127,Church St/O'Neills Rd (Melton),"-37.681501, 144.577634",3337
128,Alexandra St/Unitt St (Melton),"-37.68198, 144.580328",3337
129,Joyce St/High St (Melton),"-37.683921, 144.5726",3337
130,High St/Manningham Rd (Templestowe Lower),"-37.774575, 145.115725",3107
131,Prior Ct/Black Dog Dr (Brookfield),"-37.69296, 144.558278",3338
132,Emms St/Settlement Rd (Bundoora),"-37.696994, 145.051636",3083
133,Wedge St/High St (Epping),"-37.650468, 145.024743",3076
134,Green St/Settlement Rd (Thomastown),"-37.694273, 145.038098",3074
135,Norris Bank PS/Settlement Rd (Thomastown),"-37.694806, 145.042496",3074
136,Brand Dr/Settlement Rd (Thomastown),"-37.693919, 145.034728",3074
137,Wood St/Settlement Rd (Thomastown),"-37.693629, 145.031877",3074
138,Finton Gr/Keon Pde (Thomastown),"-37.695281, 145.016489",3074
139,Keon Park Station/Keon Pde (Thomastown),"-37.69489, 145.01304",3074
140,High St/Mahoneys Rd (Thomastown),"-37.694552, 145.009613",3074
141,Edgars Rd/Mahoneys Rd (Thomastown),"-37.693838, 145.002521",3074
142,Lipton Dr/Mahoneys Rd (Thomastown),"-37.693317, 144.997329",3074
143,Thompsons Heights Shopping Centre/Thompsons Rd (Bulleen),"-37.775213, 145.091502",3105
144,Callander St/Mahoneys Rd (Thomastown),"-37.693135, 144.995622",3074
145,Clay Ct/Mahoneys Rd (Thomastown),"-37.692786, 144.99207",3074
146,Lawson Cres/Mahoneys Rd (Thomastown),"-37.692178, 144.986019",3060
147,Lockton Ave/Mahoneys Rd (Thomastown),"-37.691798, 144.982242",3060
148,Industrial Ave/Mahoneys Rd (Thomastown),"-37.691547, 144.979697",3060
149,Phillip St/Mahoneys Rd (Thomastown),"-37.691146, 144.975727",3060
150,Sydney Rd/Mahoneys Rd (Campbellfield),"-37.689522, 144.958942",3060
151,Cheviot Rd/Mahoneys Rd (Campbellfield),"-37.689934, 144.962911",3060
152,Darren Ct/Bernard St (Cheltenham),"-37.952943, 145.059472",3192
153,Concord Cct/Oakwood Rd (Albanvale),"-37.750893, 144.768559",3021
154,Mornington Park/Esplanade (Mornington),"-38.216782, 145.035087",3931
155,Townsend Lane/Esplanade (Mornington),"-38.221659, 145.032466",3931
156,Langridge St/Hoddle St (Abbotsford),"-37.806948, 144.992014",3067
157,Williams Rd/Esplanade (Mornington),"-38.22498, 145.031177",3934
158,Webb St/Esplanade (Mornington),"-38.226632, 145.029179",3934
159,Strachans Rd/Esplanade (Mornington),"-38.230424, 145.026415",3934
160,Johns Rd/Esplanade (Mornington),"-38.234647, 145.027832",3934
161,Fossil Beach/Esplanade (Mount Martha),"-38.240364, 145.029665",3934
162,Bentons Rd/Esplanade (Mount Martha),"-38.243929, 145.02998",3934
163,Tennyson St/Albion St (Essendon),"-37.756464, 144.930611",3040
164,McPherson St/Albion St (Essendon),"-37.756293, 144.928584",3040
165,Pascoe Vale Rd/Albion St (Essendon),"-37.755984, 144.926402",3040
166,Pascoe Vale Rd/Brewster St (Essendon),"-37.751383, 144.925044",3040
167,Kalimna St/Brewster St (Essendon),"-37.751188, 144.923199",3040
168,Peterleigh Gr/Brewster St (Essendon),"-37.750974, 144.92131",3040
169,Napier St/Brewster St (Essendon),"-37.750758, 144.919284",3040
170,Station St/Cheltenham Rd (Dandenong),"-37.991449, 145.209348",3175
171,Cheltenham Rd/George St (Dandenong),"-37.989337, 145.204981",3175
172,Langhorne Pl/Langhorne St (Dandenong),"-37.98726, 145.214801",3177
173,Langhorne Pl/Langhorne St (Dandenong),"-37.987483, 145.215206",3177
174,Keneally St/Cheltenham Rd (Dandenong),"-37.989994, 145.205546",3175
175,Dundas St/Albert St (Preston),"-37.753928, 145.020587",3072
176,Progress Rd/Wattletree Rd (Eltham North),"-37.702759, 145.152219",3095
177,Banks Rd/Wattletree Rd (Eltham North),"-37.696356, 145.149634",3095
178,Glen Gully Rd/Wattletree Rd (Eltham North),"-37.694266, 145.147429",3095
179,Casuarina Rdge/Wattletree Rd (Eltham North),"-37.690665, 145.145364",3089
180,Bingo St/Albert St (Preston),"-37.750423, 145.021157",3072
181,Parry Rd/Ryans Rd (Eltham North),"-37.688927, 145.14256",3089
182,Lesay Dr/Ryans Rd (St Helena),"-37.68605, 145.142984",3089
183,Happy Valley Rise/Main St (Diamond Creek),"-37.673856, 145.148129",3089
184,Waigo Way/Brooks Cres (Diamond Creek),"-37.674787, 145.157506",3089
185,Hotham Ct/James Cook Dr (Diamond Creek),"-37.680061, 145.158759",3089
186,Oulton Reserve/Albert St (Preston),"-37.748329, 145.021531",3072
187,Farrer Cl/James Cook Dr (Diamond Creek),"-37.679561, 145.162536",3089
188,Patyah St/Phipps Cres (Diamond Creek),"-37.678765, 145.164698",3089
189,Main Hurstbridge Rd/Phipps Cres (Diamond Creek),"-37.675159, 145.165195",3089
190,Diamond Creek Plaza/Main Hurstbridge Rd (Diamond Creek),"-37.674367, 145.159489",3089
191,Amaroo Ct/Broad Gully Rd (Diamond Creek),"-37.668918, 145.157356",3089
192,Ryan St/Broad Gully Rd (Diamond Creek),"-37.669346, 145.153649",3089
193,Grassy Flat Rd/Broad Gully Rd (Diamond Creek),"-37.669414, 145.151097",3089
194,Ovando St/Albert St (Preston),"-37.746037, 145.021898",3072
195,Clyde St/Collins St (Diamond Creek),"-37.672006, 145.149706",3089
196,Nillumbik Park/Chute St (Diamond Creek),"-37.673326, 145.15397",3089
197,Beech St/Alexander Ave (Thomastown),"-37.680587, 145.017288",3074
198,Frederick St/Alexander Ave (Thomastown),"-37.680948, 145.020511",3074
199,Acacia St/Alexander Ave (Thomastown),"-37.681255, 145.023246",3074
200,Nick Ascenzo Reserve/Alexander Ave (Thomastown),"-37.681688, 145.027034",3074
201,Smith Ave/Darebin Dr (Thomastown),"-37.681813, 145.031317",3074
202,Clarke St/Johnston St (Abbotsford),"-37.800626, 145.001817",3067
203,Eton St/Albert St (Preston),"-37.743881, 145.022285",3072
204,Chapman Ave/Darebin Dr (Thomastown),"-37.681883, 145.033889",3074
205,Bates Ave/Darebin Dr (Thomastown),"-37.68017, 145.035442",3074
206,Valentine Ave/Darebin Dr (Thomastown),"-37.678669, 145.035686",3074
207,McKimmies Rd/Darebin Dr (Thomastown),"-37.676072, 145.036117",3074
208,Lalor Plaza/Darebin Dr (Lalor),"-37.67405, 145.036477",3075
209,Donald St/Darebin Dr (Lalor),"-37.669245, 145.035832",3075
210,Hertford Pl/Darebin Dr (Lalor),"-37.666609, 145.035017",3075
211,Dalton Rd/Burton St (Lalor),"-37.667099, 145.031422",3074
212,49 Burton St (Lalor),"-37.666958, 145.030009",3075
213,Ruthven Cres/Burton St (Lalor),"-37.66664, 145.027171",3075
214,Blake Park/Albert St (Preston),"-37.741628, 145.022822",3072
215,Cherry Ct/Edmondson St (Lalor),"-37.665872, 145.024902",3075
216,Edmondson St/Curtin Ave (Lalor),"-37.664528, 145.02377",3075
217,Newton Cres/Curtin Ave (Lalor),"-37.665152, 145.021214",3075
218,Lalor SC/Station St (Lalor),"-37.673127, 145.015775",3075
219,Heath St/Station St (Thomastown),"-37.676541, 145.015185",3074
220,Heather Ave/Spring St (Thomastown),"-37.681844, 145.005247",3074
221,Johnson St/Spring St (Thomastown),"-37.682261, 145.009125",3074
222,McLeod St/Spring St (Thomastown),"-37.682618, 145.012676",3074
223,RGC Cook Reserve/Victoria Dr (Thomastown),"-37.67355, 144.991308",3075
224,Gillwell Rd/Barry Rd (Thomastown),"-37.671512, 144.993846",3075
225,Franklin Rd/Edgars Rd (Lalor),"-37.67012, 145.003157",3075
226,Robert St/Edgars Rd (Lalor),"-37.667768, 145.00424",3075
227,Dion Cl/Edgars Rd (Lalor),"-37.665386, 145.005143",3075
228,CityLife Church/Kingsway (Lalor),"-37.664606, 145.007522",3075
229,Lyndon St/Kingsway Dr (Lalor),"-37.66501, 145.01115",3075
230,Linoak Ave/Kingsway Dr (Lalor),"-37.665243, 145.013196",3075
231,Mount View Rd/Main St (Thomastown),"-37.679793, 145.009769",3074
232,Main Street Rec Reserve/Main St (Thomastown),"-37.679427, 145.006207",3074
233,Simpson St/Main St (Thomastown),"-37.678955, 145.001752",3074
234,Alexina St/Alfrieda St (St Albans),"-37.740313, 144.801138",3021
235,Westvale Church/Alfrieda St (St Albans),"-37.737753, 144.801623",3021
236,Collins St/Biggs St (St Albans),"-37.736979, 144.802599",3021
237,Walmer Ave/Biggs St (St Albans),"-37.737435, 144.806318",3021
238,Leslie St/Biggs St (St Albans),"-37.737767, 144.809146",3021
239,40 Dorking Rd (Box Hill North),"-37.816367, 145.131169",3129
240,Sunshine Ave/Stenson Rd (Kealba),"-37.739216, 144.824592",3021
241,Driscolls Rd/Stenson Rd (Kealba),"-37.73827, 144.828024",3021
242,Harefield Cres/Driscolls Rd (Kealba),"-37.736933, 144.827337",3021
243,Leavesdon Ave/Driscolls Rd (Kealba),"-37.734882, 144.825593",3021
244,Valewood Dr/Driscolls Rd (Kealba),"-37.731688, 144.822918",3021
245,Crevelli St/Tyler St (Preston),"-37.732676, 145.029074",3081
246,Green Gully Rd/Driscolls Rd (Kealba),"-37.728323, 144.820793",3021
247,Hedgeley Rd/Green Gully Rd (Kealba),"-37.728765, 144.817898",3021
248,Sunshine Ave/Taylors Rd (St Albans),"-37.729504, 144.813054",3021
249,Oslo Way/Taylors Rd (Keilor Downs),"-37.729122, 144.809468",3021
250,Carbine Way/Taylors Rd (Keilor Downs),"-37.727923, 144.798317",3038
251,Theodore St/Taylors Rd (Keilor Downs),"-37.728017, 144.80047",3038
252,Burkitt Ct/Tyler St (Preston),"-37.732879, 145.031009",3081
253,Keilor Central SC/Taylors Rd (Keilor Downs),"-37.727328, 144.806049",3038
254,Carbine Way/Goodwood Dr (Keilor Downs),"-37.725789, 144.795487",3038
255,Goodwood Dr/Belmont Ave (Keilor Downs),"-37.724236, 144.796304",3038
256,Thornhill Dr/Belmont Ave (Keilor Downs),"-37.723622, 144.799601",3038
257,Belmont Ave/Copernicus Way (Keilor Downs),"-37.721165, 144.80074",3038
258,Lancia Dr/Copernicus Way (Keilor Downs),"-37.719717, 144.798492",3038
259,Goodwood Dr/Copernicus Way (Keilor Downs),"-37.719156, 144.795003",3038
260,Roseberry Ave/Copernicus Way (Keilor Downs),"-37.717799, 144.791844",3038
261,Seston St/Tyler St (Reservoir),"-37.733134, 145.033328",3081
262,Darebin Ave/Copernicus Way (Keilor Downs),"-37.715065, 144.789724",3038
263,Lady Nelson Way/Copernicus Way (Keilor Downs),"-37.712664, 144.789546",3038
264,Lady Nelson Way/Chichester Dr (Taylors Lakes),"-37.711724, 144.793215",3038
265,Cocoparra Cres/Chichester Dr (Taylors Lakes),"-37.709603, 144.794027",3038
266,Reed Cres/Bond Dr (Taylors Lakes),"-37.703727, 144.784855",3038
267,Booth Way/Bond Dr (Taylors Lakes),"-37.702046, 144.781741",3038
268,Ross Smith Ave/Nepean Hwy (Frankston),"-38.141582, 145.121509",3199
269,O'Grady Ave/Nepean Hwy (Frankston),"-38.137863, 145.123361",3199
270,Mereweather Ave/Nepean Hwy (Frankston),"-38.134389, 145.124192",3199
271,Sullivan Memorial Park/Seston St (Reservoir),"-37.731872, 145.033804",3081
272,Allawah Ave/Nepean Hwy (Frankston),"-38.133022, 145.124386",3199
273,Nepean Hwy/Overton Rd (Frankston),"-38.129479, 145.125413",3199
274,Kananook Ave/Boonong Ave (Seaford),"-38.125681, 145.126845",3198
275,Fortescue Ave/Boonong Ave (Seaford),"-38.125835, 145.12805",3198
276,Kananook PS/Boonong Ave (Seaford),"-38.126149, 145.130757",3198
277,Kananook Station/Wells Rd (Seaford),"-38.121207, 145.135115",3198
278,VicRoads/Hartnett Dr (Seaford),"-38.117843, 145.140596",3198
279,Peninsula Bvd/Hartnett Dr (Seaford),"-38.114895, 145.14107",3198
280,Heversham Dr/Hartnett Dr (Seaford),"-38.112078, 145.141871",3198
281,Roseland Gr/St Elmo Rd (Ivanhoe),"-37.760642, 145.046551",3079
282,Clingin St/Seston St (Reservoir),"-37.729159, 145.034318",3081
283,Boonong Ave/Fortescue Ave (Seaford),"-38.125516, 145.12783",3198
284,Buna Ave/Fortescue Ave (Seaford),"-38.123315, 145.128228",3198
285,McCulloch Ave/Fortescue Ave (Seaford),"-38.121075, 145.128514",3198
286,Milne Ave/Fortescue Ave (Seaford),"-38.1183, 145.129109",3198
287,Moresby Ave/Fortescue Ave (Seaford),"-38.116396, 145.129511",3198
288,Bardia Ave/Fortescue Ave (Seaford),"-38.113765, 145.13008",3198
289,Seaford Rd/Fortescue Ave (Seaford),"-38.110991, 145.130185",3198
290,Johnstone St/Railway Pde (Seaford),"-38.109336, 145.129817",3298
291,Seaford Station/Railway Pde (Seaford),"-38.104289, 145.128668",3298
292,Caddy Ct/Clingin St (Reservoir),"-37.72875, 145.032502",3081
293,Seaford North Reserve/Railway Pde (Seaford),"-38.100303, 145.128496",3298
294,Selsey St/Railway Pde (Seaford),"-38.096348, 145.128506",3298
295,Armstrongs Rd/Railway Pde (Seaford),"-38.092941, 145.128468",3198
296,Arthur St/Railway Pde (Seaford),"-38.091598, 145.128468",3198
297,Coolibar Ave/Railway Pde (Seaford),"-38.088913, 145.127955",3298
298,Attunga Cres/Railway Pde (Seaford),"-38.085103, 145.127482",3298
299,Burrawong Ave/Railway Pde (Seaford),"-38.083007, 145.127752",3298
300,Kalimna St/Eel Race Rd (Carrum),"-38.081766, 145.12621",3197
301,Progress Park/Chaleyer St (Reservoir),"-37.728494, 145.029593",3073
302,Sugar Berry Rise/Scarlet Oak Ave (Harkness),"-37.659117, 144.56671",3337
303,Stewart St/Nicholson St (Brunswick East),"-37.765575, 144.980476",3057
304,Glenmorgan St/Nicholson St (Brunswick East),"-37.76359, 144.97927",3057
305,Lyndhust Cres/Nicholson St (Brunswick East),"-37.762614, 144.978048",3057
306,Lygon St/Albion St (Brunswick East),"-37.762062, 144.973228",3057
307,Barrow St/Albion St (Brunswick),"-37.761592, 144.969483",3056
308,Mountfield St/Albion St (Brunswick),"-37.761452, 144.968159",3056
309,De Carle St/Albion St (Brunswick),"-37.761071, 144.964877",3056
310,Sydney Rd/Albion St (Brunswick),"-37.760903, 144.963486",3056
311,Anstey Station/222 Albion St (Brunswick),"-37.760535, 144.960431",3056
312,Eisenhower St/Chaleyer St (Reservoir),"-37.728294, 145.027874",3073
313,Austral Ave/Albion St (Brunswick),"-37.7601, 144.956674",3056
314,Westbourne St/Albion St (Brunswick),"-37.759499, 144.951628",3055
315,Hamilton St/Albion St (Brunswick West),"-37.759203, 144.949105",3055
316,Wallace St/Albion St (Brunswick West),"-37.758939, 144.946933",3055
317,Melville Rd/Albion St (Brunswick West),"-37.758752, 144.945474",3055
318,Bent St/Albion St (Brunswick West),"-37.758381, 144.942317",3055
319,Gronn Pl/Albion St (Brunswick West),"-37.757992, 144.939093",3055
320,Yarrabin St/Albion St (Brunswick West),"-37.757692, 144.936389",3055
321,Waxman Pde/Albion St (Brunswick West),"-37.757482, 144.934715",3055
322,Lawson St/Albion St (Essendon),"-37.756933, 144.932675",3040
323,Tennyson St/Albion St (Essendon),"-37.756662, 144.931117",3040
324,McPherson St/Albion St (Essendon),"-37.756383, 144.928582",3040
325,Pascoe Vale Rd/Albion St (Essendon),"-37.756132, 144.926614",3040
326,Raleigh St/Pascoe Vale Rd (Essendon),"-37.754152, 144.925727",3040
327,Pascoe Vale Rd/Brewster St (Essendon),"-37.751483, 144.924621",3040
328,Moffat St/Main Rd West (St Albans),"-37.742325, 144.783467",3021
329,Washington St/Main Rd West (St Albans),"-37.742796, 144.787912",3021
330,Kate St/Main Rd West (St Albans),"-37.743569, 144.794573",3021
331,Raleighs Rd/Centenary Ave (Melton),"-37.675304, 144.588776",3337
332,Melton Cemetery/O'Neills Rd (Melton),"-37.674981, 144.578254",3337
333,Swan St/O'Neills Rd (Melton),"-37.678759, 144.577508",3337
334,Reservoir SC/Broadway (Reservoir),"-37.717121, 145.00978",3073
335,Northumberland Rd/Pascoe St (Pascoe Vale),"-37.716286, 144.934044",3044
336,Liston Ave/Cheddar Rd (Reservoir),"-37.697448, 145.021002",3074
337,Westbreen PS/Pascoe St (Pascoe Vale),"-37.716553, 144.936385",3044
338,Joffre Rd/Boundary Rd (Pascoe Vale),"-37.716915, 144.940085",3044
339,Kent Rd/Cumberland Rd (Pascoe Vale),"-37.720711, 144.940195",3044
340,Warwick Rd/Cumberland Rd (Pascoe Vale),"-37.722203, 144.939972",3044
341,Daley St/Cumberland Rd (Pascoe Vale),"-37.725015, 144.939474",3044
342,Pleasant St/Cumberland Rd (Pascoe Vale),"-37.727118, 144.939121",3044
343,Olive Gr/Cumberland Rd (Pascoe Vale),"-37.729229, 144.938768",3044
344,Gaffney St/Cumberland Rd (Pascoe Vale),"-37.732165, 144.938164",3044
345,Pardy St/Cumberland Rd (Pascoe Vale),"-37.733929, 144.937979",3044
346,Keon Pde/Dalton Rd (Thomastown),"-37.695042, 145.023164",3074
347,Eastgate St/Cumberland Rd (Pascoe Vale South),"-37.7355, 144.937675",3044
348,Bell St/Cumberland Rd (Pascoe Vale South),"-37.737611, 144.937298",3044
349,Balmoral Ave/Bell St (Pascoe Vale South),"-37.738792, 144.941952",3044
350,Royal Pde/Bell St (Pascoe Vale South),"-37.739404, 144.947053",3044
351,Davis St/Bell St (Coburg),"-37.739793, 144.950776",3058
352,Linsey St/Bell St (Coburg),"-37.740086, 144.953628",3058
353,Kelson St/Bell St (Coburg),"-37.740326, 144.956015",3058
354,Nelson St/Bell St (Coburg),"-37.740718, 144.95992",3058
355,Coburg Cemetery/Bell St (Preston),"-37.743105, 144.98237",3071
356,Tasman St/Bell St (Preston),"-37.743548, 144.985603",3072
357,Wood St/Dalton Rd (Thomastown),"-37.692008, 145.02549",3074
