标题,标题链接,st,stores
BOURKE STREET MALL,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/bourke-street-mall,"Victoria, Melbourne, GPS: -37.813538, 144.964386 | phone: Not Available | stores: 40",40
BOX HILL CENTRAL,https://www.australia-shoppings.com/malls-centres/victoria/box-hill/box-hill-central,"Victoria, Box Hill, GPS: -37.818677, 145.12179 | phone: 03 9843 3900 | stores: 201",201
BRAND SMART PREMIUM OUTLET CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/nunawading/brand-smart-premium-outlet-centre,"Victoria, Nunawading, GPS: -37.819375, 145.1714718 | phone: 03 9894  0811 | stores: 39",39
BRANDON PARK SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/wheelers-hill/brandon-park-shopping-centre,"Victoria, Wheelers Hill, GPS: -37.905522, 145.161647 | phone: 03 9560 2065 | stores: 90",90
BRAYBROOK SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/braybrook/braybrook-shopping-centre,"Victoria, Braybrook, GPS: -37.782172, 144.86422 | phone: Not Available | stores: 9",9
BRIMBANK CENTRAL SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/deer-park/brimbank-central-shopping-centre,"Victoria, Deer Park, GPS: -37.751223, 144.775276 | phone: (03) 9363 5188 | stores: 119",119
BROADMEADOWS SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/broadmeadows/broadmeadows-shopping-centre,"Victoria, Broadmeadows, GPS: -37.680244, 144.91953 | phone: 03 9301 0000 | stores: 193",193
BULLEEN PLAZA,https://www.australia-shoppings.com/malls-centres/victoria/bulleen/bulleen-plaza,"Victoria, Bulleen, GPS: -37.76613, 145.091637 | phone: (03) 9852 0011 | stores: 58",58
BURNSIDE HUB,https://www.australia-shoppings.com/malls-centres/victoria/burnside/burnside-hub,"Victoria, Burnside, GPS: -37.75938, 144.753677 | phone: +61 411 534 211 | stores: 19",19
BURWOOD ONE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/burwood-east/burwood-one-shopping-centre,"Victoria, Burwood East, GPS: -37.853784, 145.149761 | phone: Not Available | stores: 50",50
CAMBERWELL SUNDAY MARKET,https://www.australia-shoppings.com/malls-centres/victoria/camberwell/camberwell-sunday-market,"Victoria, Camberwell, GPS: -37.82931, 145.058043 | phone: Not Available | stores: 53",53
CAMPBELLFIELD PLAZA,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/campbellfield-plaza,"Victoria, Melbourne, GPS: -37.689343, 144.960737 | phone: +61 3 9359 5685 | stores: 22",22
CANTERBURY GARDENS SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/bayswater/canterbury-gardens-shopping-centre,"Victoria, Bayswater, GPS: -37.822732, 145.301494 | phone: Not Available | stores: 7",7
CARNEGIE CENTRAL,https://www.australia-shoppings.com/malls-centres/victoria/carnegie/carnegie-central,"Victoria, Carnegie, GPS: -37.884786, 145.058444 | phone: +61 3 9571 4800 | stores: 21",21
CAULFIELD PLAZA SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/caulfield-east/caulfield-plaza-shopping-centre,"Victoria, Caulfield East, GPS: -37.876146, 145.04284 | phone: +61 3 9902 4005 | stores: 27",27
CENTRAL SQUARE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/altona-meadows/central-square-shopping-centre,"Victoria, Altona Meadows, GPS: -37.873122, 144.776038 | phone: 03 9315 8999 | stores: 52",52
CENTRAL WEST SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/braybrook/central-west-shopping-centre,"Victoria, Braybrook, GPS: -37.793489, 144.861609 | phone: 03 9689 8333 | stores: 46",46
CENTRO SUNSHINE MARKETPLACE,https://www.australia-shoppings.com/malls-centres/victoria/sunshine/centro-sunshine-marketplace,"Victoria, Sunshine, GPS: -37.78187, 144.831506 | phone: 03 9312 0566 | stores: 82",82
CENTURY CITY WALK,https://www.australia-shoppings.com/malls-centres/victoria/glen-waverley/century-city-walk,"Victoria, Glen Waverley, GPS: -37.881427, 145.164632 | phone: 03 9672 6454 | stores: 11",11
CHADSTONE THE FASHION CAPITAL,https://www.australia-shoppings.com/malls-centres/victoria/chadstone/chadstone-shopping-centre,"Victoria, Chadstone, GPS: -37.886038881076, 145.08346106348 | phone: (03) 9563 3355 | stores: 477",477
CHIRNSIDE HOMEMAKER CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/chirnside-park/chirnside-homemaker-centre,"Victoria, Chirnside Park, GPS: -37.765247, 145.305655 | phone: 03 9831 8960 | stores: 10",10
CHIRNSIDE PARK SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/chirnside-park/chirnside-park-shopping-centre,"Victoria, Chirnside Park, GPS: -37.758258, 145.313972 | phone: 03 9727 9000 | stores: 110",110
CIVIC SQUARE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/croydon/civic-square-shopping-centre,"Victoria, Croydon, GPS: -37.799301795285, 145.28299318557 | phone: Not available | stores: 18",18
COBURG HILL SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/coburg-north/coburg-hill-shopping-centre,"Victoria, Coburg North, GPS: -37.729625, 144.983537 | phone: +61 3 9275 7777 | stores: 6",6
COLLINS PLACE,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/collins-place,"Victoria, Melbourne, GPS: -37.814312, 144.97268 | phone: 03 9655 3600 | stores: 45",45
COLLINS234 BOUTIQUE PLACE,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/collins234-boutique-place,"Victoria, Melbourne, GPS: -37.815545, 144.965749 | phone: (03) 8539 3000 | stores: 15",15
CORIO VILLAGE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/corio/corio-village-shopping-centre,"Victoria, Corio, GPS: -38.074772, 144.355819 | phone: (03) 5275 3111 | stores: 109",109
CRAIGIEBURN CENTRAL,https://www.australia-shoppings.com/malls-centres/victoria/craigieburn/craigieburn-plaza-shopping-centre,"Victoria, Craigieburn, GPS: -37.592986, 144.912268 | phone: 03 9643 0677 | stores: 154",154
CRANBOURNE HOMEMAKER CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/cranbourne/cranbourne-homemaker-centre,"Victoria, Cranbourne, GPS: -38.085817, 145.279178 | phone: (03) 5991 4922 | stores: 30",30
CRANBOURNE PARK,https://www.australia-shoppings.com/malls-centres/victoria/cranbourne/cranbourne-park,"Victoria, Cranbourne, GPS: -38.109657, 145.282017 | phone: 03 5996 3166 | stores: 150",150
CROYDON CENTRAL SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/croydon/croydon-central-shopping-centre,"Victoria, Croydon, GPS: -37.794026, 145.278937 | phone: +61 3 9724 0300 | stores: 35",35
CS SQUARE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/caroline-springs/cs-square-shopping-centre,"Victoria, Caroline Springs, GPS: -37.731774, 144.743748 | phone: (03) 8390 0764 | stores: 69",69
DANDENONG PLAZA,https://www.australia-shoppings.com/malls-centres/victoria/dandenong/dandenong-plaza,"Victoria, Dandenong, GPS: -37.986731, 145.217684 | phone: 03 9767 2000 | stores: 176",176
DARLEY PLAZA,https://www.australia-shoppings.com/malls-centres/victoria/darley/darley-plaza,"Victoria, Darley, GPS: -37.659449, 144.440871 | phone: Not Available | stores: 2",2
DFO ESSENDON,https://www.australia-shoppings.com/malls-centres/victoria/essendon/dfo-essendon,"Victoria, Essendon, GPS: -37.733125, 144.906547 | phone: (03) 9937 7222  | stores: 146",146
DFO MOORABBIN,https://www.australia-shoppings.com/malls-centres/victoria/moorabbin/dfo-moorabbin,"Victoria, Moorabbin, GPS: -37.971261, 145.08812 | phone: (03) 9583 0344 | stores: 131",131
DFO SOUTH WHARF,https://www.australia-shoppings.com/malls-centres/victoria/south-wharf/dfo-south-wharf,"Victoria, South Wharf, GPS: -37.825196, 144.949879 | phone: (03) 9099 1111 | stores: 192",192
DIAMOND CREEK SHOPPING STATION,https://www.australia-shoppings.com/malls-centres/victoria/diamond-creek/diamond-creek-shopping-station,"Victoria, Diamond Creek, GPS: -37.673551, 145.15957 | phone: +61 3 9275 7777 | stores: 12",12
DINGLEY VILLAGE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/dingley-village/dingley-village-shopping-centre,"Victoria, Dingley Village, GPS: -37.983412, 145.132541 | phone: Not Available | stores: 18",18
DROMANA HUB SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/dromana/dromana-hub-shopping-centre,"Victoria, Dromana, GPS: -38.333538, 144.964645 | phone: +61 427 116 866 | stores: 22",22
EASTLAND SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/ringwood/eastland-shopping-centre,"Victoria, Ringwood, GPS: -37.812672, 145.229157 | phone: +61 3 9870 8377 | stores: 362",362
EASTWOOD VILLAGE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/bairnsdale/eastwood-village-shopping-centre,"Victoria, Bairnsdale, GPS: -37.826676, 147.629682 | phone: (02) 9874 3666 | stores: 43",43
ELIZA SQUARE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/mount-eliza/eliza-square-shopping-centre,"Victoria, Mount Eliza, GPS: -38.183794, 145.089375 | phone: Not Available | stores: 11",11
ELTHAM VILLAGE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/eltham/eltham-village-shopping-centre,"Victoria, Eltham, GPS: -37.714902, 145.148743 | phone: (03) 9439 3393 | stores: 22",22
EMPORIUM MELBOURNE,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/emporium-melbourne,"Victoria, Melbourne, GPS: -37.812517, 144.963555 | phone: 03 8609 8221 | stores: 222",222
ENDEAVOUR HILLS SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/endeavour-hills/endeavour-hills-shopping-centre,"Victoria, Endeavour Hills, GPS: -37.976993, 145.258788 | phone: +61 3 9700 2374 | stores: 78",78
EPPING NORTH SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/epping/epping-north-shopping-centre,"Victoria, Epping, GPS: -37.628168, 145.027155 | phone: (03) 8401 3340 | stores: 16",16
FEDERATION SQUARE (FED SQUARE),https://www.australia-shoppings.com/malls-centres/victoria/melbourne/federation-square-fed-square,"Victoria, Melbourne, GPS: -37.81797, 144.969024 | phone: 03 9655 1900 | stores: 25",25
FOOTSCRAY MARKET,https://www.australia-shoppings.com/malls-centres/victoria/footscray/footscray-market,"Victoria, Footscray, GPS: -37.800522, 144.901875 | phone: 03 9687 1205 | stores: 58",58
FOOTSCRAY PLAZA SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/footscray/footscray-plaza-shopping-centre,"Victoria, Footscray, GPS: -37.802426, 144.894785 | phone: Not Available | stores: 6",6
FOREST HILL CHASE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/forest-hill/forest-hill-chase-shopping-centre,"Victoria, Forest Hill, GPS: -37.835453, 145.164718 | phone: (03) 9878 7111 | stores: 174",174
FRANKSTON POWER CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/frankston/frankston-power-centre,"Victoria, Frankston, GPS: -38.148946, 145.137326 | phone: 03 9675 4800 | stores: 24",24
GALLERIA MELBOURNE,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/galleria,"Victoria, Melbourne, GPS: -37.814824, 144.962743 | phone: 03 9604 5800 | stores: 31",31
GATEWAY PLAZA,https://www.australia-shoppings.com/malls-centres/victoria/warrnambool/gateway-plaza,"Victoria, Warrnambool, GPS: -38.381608, 142.519768 | phone: 03 5561 3898 | stores: 32",32
GEELONG GATE HOMEMAKER CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/geelong/geelong-gate-homemaker-centre,"Victoria, Geelong, GPS: -38.065015, 144.383085 | phone: Not Available | stores: 15",15
GIPPSLAND CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/sale/gippsland-centre,"Victoria, Sale, GPS: -38.106745, 147.06271 | phone: 03 5144 7133 | stores: 51",51
GISBORNE VILLAGE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/gisborne/gisborne-village-shopping-centre,"Victoria, Gisborne, GPS: -37.485605, 144.589909 | phone: Not Available | stores: 55",55
GLADSTONE PARK SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/gladstone-park/gladstone-park-shopping-centre,"Victoria, Gladstone Park, GPS: -37.688293, 144.88463 | phone: (03) 9338 3000 | stores: 33",33
GREENSBOROUGH PLAZA,https://www.australia-shoppings.com/malls-centres/victoria/greensborough/greensborough-plaza,"Victoria, Greensborough, GPS: -37.702696, 145.102816 | phone: 03 9435 4000 | stores: 178",178
GREENVALE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/greenvale/greenvale-shopping-centre,"Victoria, Greenvale, GPS: -37.639349, 144.881948 | phone: (03) 9825 0700 | stores: 28",28
HAMPTON PARK SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/hampton-park/hampton-park-shopping-centre,"Victoria, Hampton Park, GPS: -38.032654, 145.265843 | phone: (03) 9799 4750 | stores: 17",17
HARBOUR TOWN MELBOURNE,https://www.australia-shoppings.com/malls-centres/victoria/docklands/harbour-town-melbourne,"Victoria, Docklands, GPS: -37.812574, 144.939344 | phone: 03 9328 8600 | stores: 98",98
HARVEY NORMAN - WANGARATTA,https://www.australia-shoppings.com/malls-centres/victoria/wangaratta/harvey-norman-wangaratta,"Victoria, Wangaratta, GPS: -36.356748, 146.325113 | phone: 03 5723 8800 | stores: 4",4
HARVEY NORMAN CENTRE - HOPPERS CROSSING,https://www.australia-shoppings.com/malls-centres/victoria/hoppers-crossing/harvey-norman-centre-hoppers-crossing,"Victoria, Hoppers Crossing, GPS: -37.875109, 144.710844 | phone: Not Available | stores: 5",5
HARVEY NORMAN CENTRE MARIBYRNONG,https://www.australia-shoppings.com/malls-centres/victoria/maribyrnong/harvey-norman-centre-maribyrnong,"Victoria, Maribyrnong, GPS: -37.772658, 144.885527 | phone: Not Available | stores: 8",8
HARVEY NORMAN CENTRE WARRNAMBOOL,https://www.australia-shoppings.com/malls-centres/victoria/warrnambool/harvey-norman-centre-warrnambool,"Victoria, Warrnambool, GPS: -38.383231, 142.523999 | phone: Not Available | stores: 7",7
HEALESVILLE WALK SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/healesville/healesville-walk-shopping-centre,"Victoria, Healesville, GPS: -37.652833, 145.518043 | phone: 03 9799 8267 | stores: 15",15
HIGHETT SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/highett/highett-shopping-centre,"Victoria, Highett, GPS: -37.949024, 145.041367 | phone: (03) 9735 2833 | stores: 13",13
HIGHPOINT SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/maribyrnong/highpoint-shopping-centre,"Victoria, Maribyrnong, GPS: -37.77369, 144.888781 | phone: +61 3 9318 3344 | stores: 454",454
HOGAN'S CORNER SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/hoppers-crossing/hogans-corner-shopping-centre,"Victoria, Hoppers Crossing, GPS: -37.861908, 144.68726 | phone: Not Available | stores: 19",19
HOME QUARTER DANDENONG,https://www.australia-shoppings.com/malls-centres/victoria/dandenong/home-quarter-dandenong,"Victoria, Dandenong, GPS: -38.005209, 145.21853 | phone: Not Available | stores: 10",10
HOMECO. BALLARAT (FORM. WENDOUREE HOMEMAKER CENTRE),https://www.australia-shoppings.com/malls-centres/victoria/wendouree/wendouree-homemaker-centre,"Victoria, Wendouree, GPS: -37.5343837, 143.8211086 | phone: 1300 994 663 | stores: 14",14
HOMEMAKER CITY MARIBYRNONG,https://www.australia-shoppings.com/malls-centres/victoria/maribyrnong/homemaker-city-maribyrnong,"Victoria, Maribyrnong, GPS: -37.771563, 144.884429 | phone: Not Available | stores: 15",15
HOMEMAKERS ALBURY WODONGA,https://www.australia-shoppings.com/malls-centres/victoria/wodonga/homemakers-albury-wodonga,"Victoria, Wodonga, GPS: -36.137884, 146.90877 | phone: Not Available | stores: 9",9
HOMEPLUS HOMEMAKER CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/chadstone/homeplus-homemaker-centre,"Victoria, Chadstone, GPS: -37.877598, 145.091922 | phone: (03) 9568 6840 | stores: 12",12
HORSHAM PLAZA,https://www.australia-shoppings.com/malls-centres/victoria/horsham/horsham-plaza,"Victoria, Horsham, GPS: -36.715718, 142.196203 | phone: 03 5382 0912 | stores: 28",28
IVANHOE PLAZA,https://www.australia-shoppings.com/malls-centres/victoria/ivanhoe/ivanhoe-plaza,"Victoria,  Ivanhoe, GPS: -37.768183, 145.04146 | phone: +61 3 9296 2023 | stores: 12",12
KARINGAL HUB SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/frankston/karingal-hub-shopping-centre,"Victoria, Frankston, GPS: -38.153172, 145.165494 | phone: 03 9789 1192 | stores: 123",123
KEILOR SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/keilor-downs/keilor-shopping-centre,"Victoria, Keilor Downs, GPS: -37.727952, 144.806774 | phone: (03) 9364 0444 | stores: 66",66
KENNINGTON VILLAGE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/bendigo/kennington-village-shopping-centre,"Victoria, Bendigo, GPS: -36.775409, 144.306331 | phone: Not Available | stores: 4",4
LANSELL SQUARE,https://www.australia-shoppings.com/malls-centres/victoria/kangaroo-flat/lansell-square,"Victoria, Kangaroo Flat, GPS: -36.810475, 144.242283 | phone: +61 3 5447 8111 | stores: 73",73
LILYDALE MARKETPLACE,https://www.australia-shoppings.com/malls-centres/victoria/lilydale/lilydale-marketplace,"Victoria, Lilydale, GPS: -37.759801, 145.348895 | phone: (03) 9735 2833 | stores: 56",56
LYNBROOK VILLAGE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/lynbrook/lynbrook-village-shopping-centre,"Victoria, Lynbrook, GPS: -38.05177, 145.256595 | phone: 03 9799 8267 | stores: 30",30
MALVERN CENTRAL,https://www.australia-shoppings.com/malls-centres/victoria/malvern/malvern-central,"Victoria, Malvern, GPS: -37.863028, 145.027026 | phone: (03) 9509 2288 | stores: 26",26
MANOR LAKES CENTRAL SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/manor/manor-lakes-central-shopping-centre,"Victoria, Manor, GPS: -37.876281, 144.614452 | phone: +61 3 9749 7977 | stores: 23",23
MARKET SQUARE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/geelong/market-square-shopping-centre,"Victoria, Geelong, GPS: -38.147951, 144.361964 | phone: (03) 5221 2411 | stores: 81",81
MEADOW HEIGHTS SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/meadow-heights/meadow-heights-shopping-centre,"Victoria, Meadow Heights, GPS: -37.650845, 144.922161 | phone: +61 3 9309 4550 | stores: 9",9
MELBOURNE CENTRAL SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/melbourne-central-shopping-centre,"Victoria, Melbourne, GPS: -37.810813, 144.962812 | phone: +61 3 9922 1100 | stores: 272",272
MELBOURNE GPO,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/melbourne-gpo,"Victoria, Melbourne, GPS: -37.813692, 144.963206 | phone: (03) 9290 0200 | stores: 10",10
Melton Gateway ,https://www.australia-shoppings.com/malls-centres/victoria/melton/melton-gateway,"Victoria, Melton, GPS: -37.688442, 144.603102 | phone: Not Available | stores: 11",11
MIDVALLEY SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/morwell/midvalley-shopping-centre,"Victoria, Morwell, GPS: -38.236989, 146.429798 | phone: 03 5133 7022 | stores: 68",68
MILDURA CENTRAL,https://www.australia-shoppings.com/malls-centres/victoria/mildura/mildura-central,"Victoria, Mildura, GPS: -34.208196, 142.138774 | phone: 03 5023 7177 | stores: 74",74
MILLEARA SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/keilor-east/milleara-shopping-centre,"Victoria, Keilor East, GPS: -37.749591, 144.861442 | phone: +61 3 9331 1255 | stores: 20",20
MITCHAM SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/mitcham/mitcham-shopping-centre,"Victoria, Mitcham, GPS: -37.815739, 145.192535 | phone: Not Available | stores: 4",4
MOONEE PONDS CENTRAL,https://www.australia-shoppings.com/malls-centres/victoria/moonee-ponds/moonee-ponds-central,"Victoria, Moonee Ponds, GPS: -37.765648, 144.922669 | phone: 03 9370 5411 | stores: 62",62
MOORABBIN HOUSE AND HOME CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/moorabbin/moorabbin-house-and-home-centre,"Victoria, Moorabbin, GPS: -37.939558, 145.038272 | phone: Not Available | stores: 7",7
MORDIALLOC PLAZA,https://www.australia-shoppings.com/malls-centres/victoria/mordialloc/mordialloc-plaza,"Victoria, Mordialloc, GPS: -38.008072, 145.086614 | phone: Not Available | stores: 11",11
MORNINGTON CENTRAL,https://www.australia-shoppings.com/malls-centres/victoria/mornington/mornington-central,"Victoria, Mornington, GPS: -38.218566, 145.039113 | phone: 03 5976 1299 | stores: 43",43
MORNINGTON VILLAGE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/mornington/mornington-village-shopping-centre,"Victoria, Mornington, GPS: -38.223672, 145.040597 | phone: 03 5975 5702 | stores: 22",22
MOUNTAIN GATE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/ferntree-gully/mountain-gate-shopping-centre,"Victoria, Ferntree Gully, GPS: -37.883678, 145.274908 | phone: Not Available | stores: 45",45
MOUNTAIN HIGH SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/bayswater/mountain-high-shopping-centre,"Victoria, Bayswater, GPS: -37.840921, 145.265094 | phone: Not Available | stores: 26",26
MYER BOURKE STREET,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/myer-bourke-street,"Victoria, Melbourne, GPS: -37.813881, 144.963993 | phone: Not Available ",
NEWCOMB CENTRAL SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/newcomb/newcomb-central-shopping-centre,"Victoria, Newcomb, GPS: -38.169956, 144.39147 | phone: Not Available | stores: 15",15
NORTH BLACKBURN SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/blackburn/north-blackburn-shopping-centre,"Victoria, Blackburn, GPS: -37.812013, 145.152392 | phone: (03) 9878 4233 | stores: 41",41
NORTHCOTE SHOPPING PLAZA,https://www.australia-shoppings.com/malls-centres/victoria/melbourne/northcote-shopping-plaza,"Victoria, Melbourne, GPS: -37.768556, 145.001845 | phone: (03) 9489 8162 | stores: 63",63
NORTHLAND HOMEMAKER CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/preston/northland-homemaker-centre,"Victoria, Preston, GPS: -37.741697, 145.027778 | phone: Not Available | stores: 15",15
NORTHLAND SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/preston/northland-shopping-centre,"Victoria, Preston, GPS: -37.739018, 145.029845 | phone: +61 3 9478 1399 | stores: 302",302
OAKLEIGH CENTRAL,https://www.australia-shoppings.com/malls-centres/victoria/oakleigh/oakleigh-central,"Victoria, Oakleigh, GPS: -37.901055, 145.090211 | phone: Not Available | stores: 44",44
OCEAN GROVE MARKETPLACE,https://www.australia-shoppings.com/malls-centres/victoria/ocean-grove/ocean-grove-marketplace,"Victoria, Ocean Grove, GPS: -38.258894, 144.548297 | phone: (03) 8401 3340 | stores: 19",19
PACIFIC EPPING,https://www.australia-shoppings.com/malls-centres/victoria/epping/pacific-epping,"Victoria, Epping, GPS: -37.653869, 145.018678 | phone: (03) 9401 4111 | stores: 244",244
PACIFIC WERRIBEE PLAZA,https://www.australia-shoppings.com/malls-centres/victoria/werribee/werribee-plaza,"Victoria, Werribee, GPS: -37.875219, 144.679643 | phone: +61 3 9749 5111 | stores: 288",288
PAKENHAM CENTRAL MARKETPLACE,https://www.australia-shoppings.com/malls-centres/victoria/pakenham/pakenham-central-marketplace,"Victoria, Pakenham, GPS: -38.0775, 145.483931 | phone: (03) 5940 8322 | stores: 46",46
PAKENHAM PLACE SHOPPING CENTRE,https://www.australia-shoppings.com/malls-centres/victoria/pakenham/pakenham-place-shopping-centre,"Victoria, Pakenham, GPS: -38.079019, 145.480817 | phone: (03) 5940 1304 | stores: 23",23
PAKINGTON STRAND,https://www.australia-shoppings.com/malls-centres/victoria/geelong/pakington-strand,"Victoria, Geelong, GPS: -38.137503, 144.347662 | phone: +61 3 8847 7100 ",
