SA2_MAINCODE_2016,SA2_NAME_2016,LGA_CODE_2016,LGA_NAME_2016,RATIO,PERCENTAGE,,,,,
702031061,West Arnhem,74660,West Arnhem (R),0.9999996,99.9999575,,,,,
702041062,Anindilyakwa,71300,East Arnhem (R),0.6169416,61.6941609,,,,,
702041062,Anindilyakwa,79399,Unincorporated NT,0.3830584,38.3058391,,,,,
702041063,East Arnhem,71300,East Arnhem (R),0.9999997,99.9999734,,,,,
702041064,Nhulunbuy,79399,Unincorporated NT,0.9999997,99.9999746,,,,,
702051065,Elsey,73600,Roper Gulf (R),0.9999995,99.9999514,,,,,
702051066,Gulf,73600,Roper Gulf (R),1,100,,,,,
702051067,Katherine,72200,Katherine (T),0.9973938,99.7393784,,,,,
702051067,Katherine,73600,Roper Gulf (R),0.0026062,0.2606216,,,,,
702051068,Victoria River,70620,Central Desert (R),0.2610196,26.101962,,,,,
702051068,Victoria River,74550,Victoria Daly (R),0.7389804,73.898038,,,,,
801011001,Aranda,89399,Unincorporated ACT,1,100,,,,,
801011002,Belconnen,89399,Unincorporated ACT,1,100,,,,,
801011003,Bruce,89399,Unincorporated ACT,1,100,,,,,
801011004,Charnwood,89399,Unincorporated ACT,1,100,,,,,
801011005,Cook,89399,Unincorporated ACT,1,100,,,,,
801011006,Dunlop,89399,Unincorporated ACT,1,100,,,,,
801011007,Evatt,89399,Unincorporated ACT,1,100,,,,,
801011008,Florey,89399,Unincorporated ACT,1,100,,,,,
801011009,Flynn (ACT),89399,Unincorporated ACT,1,100,,,,,
801011010,Fraser,89399,Unincorporated ACT,1,100,,,,,
801011011,Giralang,89399,Unincorporated ACT,1,100,,,,,
801011012,Gooromon,89399,Unincorporated ACT,1,100,,,,,
801011013,Hawker,89399,Unincorporated ACT,1,100,,,,,
801011014,Higgins,89399,Unincorporated ACT,1,100,,,,,
801011015,Holt,89399,Unincorporated ACT,1,100,,,,,
801011016,Kaleen,89399,Unincorporated ACT,1,100,,,,,
801011017,Latham,89399,Unincorporated ACT,1,100,,,,,
801011018,Lawson,89399,Unincorporated ACT,1,100,,,,,
801011019,Macgregor (ACT),89399,Unincorporated ACT,1,100,,,,,
801011020,Macquarie,89399,Unincorporated ACT,1,100,,,,,
801011021,McKellar,89399,Unincorporated ACT,1,100,,,,,
801011022,Melba,89399,Unincorporated ACT,1,100,,,,,
801011023,Page,89399,Unincorporated ACT,1,100,,,,,
801011024,Scullin,89399,Unincorporated ACT,1,100,,,,,
801011025,Spence,89399,Unincorporated ACT,1,100,,,,,
801011026,Weetangera,89399,Unincorporated ACT,1,100,,,,,
801011111,Molonglo Corridor,89399,Unincorporated ACT,1,100,,,,,
801011112,West Belconnen,89399,Unincorporated ACT,1,100,,,,,
801031031,Hume,89399,Unincorporated ACT,1,100,,,,,
801031032,Kowen,89399,Unincorporated ACT,1,100,,,,,
801031113,Canberra East,89399,Unincorporated ACT,1,100,,,,,
801031114,Canberra Airport,89399,Unincorporated ACT,1,100,,,,,
801031115,Majura,89399,Unincorporated ACT,1,100,,,,,
801041034,Amaroo,89399,Unincorporated ACT,1,100,,,,,
801041035,Bonner,89399,Unincorporated ACT,1,100,,,,,
801041036,Casey,89399,Unincorporated ACT,1,100,,,,,
801041037,Crace,89399,Unincorporated ACT,1,100,,,,,
801041038,Forde,89399,Unincorporated ACT,1,100,,,,,
801041039,Franklin,89399,Unincorporated ACT,1,100,,,,,
801041040,Gungahlin,89399,Unincorporated ACT,1,100,,,,,
801041043,Hall,89399,Unincorporated ACT,1,100,,,,,
801041044,Harrison,89399,Unincorporated ACT,1,100,,,,,
801041045,Mitchell,89399,Unincorporated ACT,1,100,,,,,
801041046,Ngunnawal,89399,Unincorporated ACT,1,100,,,,,
801041047,Nicholls,89399,Unincorporated ACT,1,100,,,,,
801041048,Palmerston,89399,Unincorporated ACT,1,100,,,,,
801041116,Gungahlin - East,89399,Unincorporated ACT,1,100,,,,,
801041117,Gungahlin - West,89399,Unincorporated ACT,1,100,,,,,
801041118,Jacka,89399,Unincorporated ACT,1,100,,,,,
801041119,Kenny,89399,Unincorporated ACT,1,100,,,,,
801041120,Moncrieff,89399,Unincorporated ACT,1,100,,,,,
801041121,Taylor,89399,Unincorporated ACT,1,100,,,,,
801041122,Throsby,89399,Unincorporated ACT,1,100,,,,,
801051049,Acton,89399,Unincorporated ACT,1,100,,,,,
801051050,Ainslie,89399,Unincorporated ACT,1,100,,,,,
801051051,Braddon,89399,Unincorporated ACT,1,100,,,,,
801051053,Civic,89399,Unincorporated ACT,1,100,,,,,
801051054,Dickson,89399,Unincorporated ACT,1,100,,,,,
801051055,Downer,89399,Unincorporated ACT,1,100,,,,,
801051056,Hackett,89399,Unincorporated ACT,1,100,,,,,
801051057,Lyneham,89399,Unincorporated ACT,1,100,,,,,
801051058,O'Connor (ACT),89399,Unincorporated ACT,1,100,,,,,
801051060,Turner,89399,Unincorporated ACT,1,100,,,,,
801051061,Watson,89399,Unincorporated ACT,1,100,,,,,
801051123,Black Mountain,89399,Unincorporated ACT,1,100,,,,,
801051124,Campbell,89399,Unincorporated ACT,1,100,,,,,
801051125,Duntroon,89399,Unincorporated ACT,1,100,,,,,
801051126,Parkes (ACT) - North,89399,Unincorporated ACT,1,100,,,,,
801051127,Reid,89399,Unincorporated ACT,1,100,,,,,
801051128,Russell,89399,Unincorporated ACT,1,100,,,,,
801061062,Deakin,89399,Unincorporated ACT,1,100,,,,,
801061063,Forrest,89399,Unincorporated ACT,1,100,,,,,
801061064,Griffith (ACT),89399,Unincorporated ACT,1,100,,,,,
801061066,Lake Burley Griffin,89399,Unincorporated ACT,1,100,,,,,
801061067,Narrabundah,89399,Unincorporated ACT,1,100,,,,,
801061068,Parkes (ACT) - South,89399,Unincorporated ACT,1,100,,,,,
801061069,Red Hill (ACT),89399,Unincorporated ACT,1,100,,,,,
801061070,Yarralumla,89399,Unincorporated ACT,1,100,,,,,
801061129,Barton,89399,Unincorporated ACT,1,100,,,,,
801061130,Fyshwick,89399,Unincorporated ACT,1,100,,,,,
801061131,Kingston (ACT),89399,Unincorporated ACT,1,100,,,,,
801071071,Banks,89399,Unincorporated ACT,1,100,,,,,
801071072,Bonython,89399,Unincorporated ACT,1,100,,,,,
801071073,Calwell,89399,Unincorporated ACT,1,100,,,,,
801071074,Chisholm,89399,Unincorporated ACT,1,100,,,,,
801071075,Conder,89399,Unincorporated ACT,1,100,,,,,
801071076,Fadden,89399,Unincorporated ACT,1,100,,,,,
801071077,Gilmore,89399,Unincorporated ACT,1,100,,,,,
801071078,Gordon (ACT),89399,Unincorporated ACT,1,100,,,,,
801071079,Gowrie (ACT),89399,Unincorporated ACT,1,100,,,,,
801071080,Greenway,89399,Unincorporated ACT,1,100,,,,,
801071081,Isabella Plains,89399,Unincorporated ACT,1,100,,,,,
801071082,Kambah,89399,Unincorporated ACT,1,100,,,,,
801071083,Macarthur,89399,Unincorporated ACT,1,100,,,,,
801071084,Monash,89399,Unincorporated ACT,1,100,,,,,
801071085,Mount Taylor,89399,Unincorporated ACT,1,100,,,,,
801071086,Oxley (ACT),89399,Unincorporated ACT,1,100,,,,,
801071087,Richardson,89399,Unincorporated ACT,1,100,,,,,
801071088,Theodore,89399,Unincorporated ACT,1,100,,,,,
801071089,Tuggeranong,89399,Unincorporated ACT,1,100,,,,,
801071090,Wanniassa,89399,Unincorporated ACT,1,100,,,,,
801071132,Tuggeranong - West,89399,Unincorporated ACT,1,100,,,,,
801081091,Chapman,89399,Unincorporated ACT,1,100,,,,,
801081092,Duffy,89399,Unincorporated ACT,1,100,,,,,
801081093,Fisher,89399,Unincorporated ACT,1,100,,,,,
801081094,Holder,89399,Unincorporated ACT,1,100,,,,,
801081095,Rivett,89399,Unincorporated ACT,1,100,,,,,
801081096,Stirling,89399,Unincorporated ACT,1,100,,,,,
801081097,Waramanga,89399,Unincorporated ACT,1,100,,,,,
801081098,Weston,89399,Unincorporated ACT,1,100,,,,,
801081133,Scrivener,89399,Unincorporated ACT,1,100,,,,,
801091099,Chifley,89399,Unincorporated ACT,1,100,,,,,
801091100,Curtin,89399,Unincorporated ACT,1,100,,,,,
801091101,Farrer,89399,Unincorporated ACT,1,100,,,,,
801091102,Garran,89399,Unincorporated ACT,1,100,,,,,
801091103,Hughes,89399,Unincorporated ACT,1,100,,,,,
801091104,Isaacs,89399,Unincorporated ACT,1,100,,,,,
801091105,Lyons (ACT),89399,Unincorporated ACT,1,100,,,,,
801091106,Mawson,89399,Unincorporated ACT,1,100,,,,,
801091107,O'Malley,89399,Unincorporated ACT,1,100,,,,,
801091108,Pearce,89399,Unincorporated ACT,1,100,,,,,
801091109,Phillip,89399,Unincorporated ACT,1,100,,,,,
801091110,Torrens,89399,Unincorporated ACT,1,100,,,,,
801101134,Arboretum,89399,Unincorporated ACT,1,100,,,,,
801101135,Coombs,89399,Unincorporated ACT,1,100,,,,,
801101136,Denman Prospect,89399,Unincorporated ACT,1,100,,,,,
801101137,Molonglo,89399,Unincorporated ACT,1,100,,,,,
801101138,Molonglo - North,89399,Unincorporated ACT,1,100,,,,,
801101139,Wright,89399,Unincorporated ACT,1,100,,,,,
801111140,ACT - South West,89399,Unincorporated ACT,1,100,,,,,
801111141,Namadgi,89399,Unincorporated ACT,1,100,,,,,
901011001,Christmas Island,99399,Unincorp. Other Territories,1,100,,,,,
901021002,Cocos (Keeling) Islands,99399,Unincorp. Other Territories,1,100,,,,,
901031003,Jervis Bay,99399,Unincorp. Other Territories,1,100,,,,,
901041004,Norfolk Island,99399,Unincorp. Other Territories,1,100,,,,,
,,,,,,,,,,
,,,,,,,,,,
© Commonwealth of Australia 2016,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
