,Postcode,Centroid,Formal Name,Location Address,Suburb,Latitude and longitude
150,3122,-37.822725 145.030602,Hawthorn Birth and Development Centre,144 Barkers Road,Hawthorn,"-37.81412479999999,145.0303259"
151,3123,-37.829752 145.049415,Vision Day Surgery Camberwell,27 Denmark Hill Road,Hawthorn East,"-37.8324449,145.0555824"
152,3124,-37.840867 145.068191,Epworth Rehabilitation Camberwell,888 Toorak Road,Camberwell,"-37.8458631,145.0542881"
153,3125,-37.851305 145.101,Delmont Private Hospital,298 Warrigal Road,Burwood,"-37.857031,145.0943339"
154,3126,-37.827203 145.075748,Mercy Health - O'Connell Family Centre,6 Mont Albert Road,Canterbury,"-37.8167426,145.0616773"
156,3128,-37.828866 145.122393,Box Hill Hospital,51 Nelson Road ,Box Hill,"-37.8137575,145.1192459"
157,3128,-37.828866 145.122393,Eastern Health,"Level 4, 5 Arnold Street",Box Hill,"-37.814843,145.118358"
158,3128,-37.828866 145.122393,Epworth Eastern Hospital,1 Arnold Street,Box Hill,"-37.81478360000001,145.1190476"
159,3128,-37.828866 145.122393,Vision Day Surgery Eastern,852-856 Whitehorse Road,Box Hill,"-37.8177488,145.1195096"
161,3130,-37.81805 145.149653,Bellbird Private Hospital,198 Canterbury Road,Blackburn,"-37.8333161,145.156104"
162,3131,-37.817798 145.174489,Forest Hill Dialysis Centre,"Shops 26 & 27 Forest Hill Chase, 69 Mahoneys ",Forest Hill,"-37.8354108,145.1646721"
163,3131,-37.817798 145.174489,"Peter James Centre, The",321-345 Burwood Hwy,Forest Hill,"-37.85399140000001,145.1643808"
164,3132,-37.819222 145.196686,Mitcham Private Hospital,27 Doncaster East Road,Mitcham,"-37.8104018,145.1949405"
165,3133,-37.848786 145.192303,Dr Walters Vasectomy Centre,486 Burwood Highway,Vermont South,"-37.8570427,145.1831856"
166,3134,-37.823058 145.257929,Eastside Endoscopy Centre,33 Wantirna Road,Ringwood,"-37.8197766,145.2276901"
167,3135,-37.819594 145.248209,Maroondah Hospital,1-15 Mt Dandenong Rd,East Ringwood,"-37.8035047,145.2555597"
168,3135,-37.819594 145.248209,Ringwood Private Hospital,36 Mount Dandenong Road,Ringwood,"-37.8116215,145.243789"
169,3136,-37.779876 145.282396,Marie Stopes International Maroondah,411 Dorset Road,Croydon,"-37.8090897,145.2886489"
173,3140,-37.759154 145.363185,Yarra Ranges Health,25 Market Street,Lilydale,"-37.756521,145.3513794"
175,3142,-37.84411 145.017732,Toorak Cosmetic Surgery Day Centre,109 Mathoura Rd ,Toorak,"-37.84135029999999,145.0079609"
177,3144,-37.857443 145.034127,Cabrini Malvern,181-183 Wattletree Road,Malvern,"-37.8626027,145.0333328"
178,3144,-37.857443 145.034127,Malvern Dialysis Centre,"Ground Floor, 1133 Malvern Road",Malvern,"-37.8514647,145.0306918"
179,3144,-37.857443 145.034127,Stonnington Day Surgery,"Level 1, 253 Wattletree Road",Malvern,"-37.86365300000001,145.039398"
180,3144,-37.857443 145.034127,Toorak-Malvern Day Surgery Centre,30-32 Glenferrie Road,Malvern,"-37.8639714,145.0282973"
181,3145,-37.873557 145.049328,Malvern Private Hospital,3-9 Wilton Vale Crescent,Malvern East,"-37.8670659,145.0607454"
185,3149,-37.880748 145.128118,Waverley Endoscopy Suites,301 Blackburn Road,Mount Waverley,"-37.8803055,145.1465726"
186,3149,-37.880748 145.128118,Waverley Private Hospital,343-357 Blackburn Road,Mount Waverley,"-37.8844811,145.1455935"
187,3150,-37.914383 145.168834,The Glen Endoscopy Centre,302 Springvale Road,Glen Waverley,"-37.8846368,145.1653084"
188,3150,-37.914383 145.168834,The Victorian Rehabilitation Centre,499 Springvale Road,Glen Waverley,"-37.8978816,145.1609529"
190,3152,-37.864951 145.221695,Knox Private Hospital,262 Mountain Highway,Wantirna,"-37.8493969,145.2271597"
191,3152,-37.864951 145.221695,Wantirna Health,251 Mountain Highway,Wantirna,"-37.8482591,145.2261797"
192,3153,-37.845116 145.270141,Bayswater Day Procedure and Specialist Centre,664 Mountain Highway,Bayswater,"-37.8422484,145.2629995"
194,3155,-37.861799 145.284418,The Melbourne Eastern Private Hospital,157 Scoresby Road,Boronia,"-37.8552294,145.2689362"
195,3156,-37.917932 145.292895,Angliss Hospital,Albert Street,Upper Ferntree Gully,"-37.8989287,145.3132882"
199,3161,-37.873733 145.019929,Tarietta Day Surgery,73 Kooyong Road,Caulfield North,"-37.8701885,145.0177706"
200,3162,-37.892139 145.023394,Calvary Health Care Bethlehem Ltd.,476 Kooyong Road,Caulfield,"-37.8969028,145.0132125"
201,3162,-37.892139 145.023394,Caulfield Hospital,260 Kooyong Road,Caulfield,"-37.8826291,145.0161829"
202,3162,-37.892139 145.023394,Glen Eira Day Surgery,554 Hawthorn Road,Caulfield South,"-37.900589,145.0193881"
203,3162,-37.892139 145.023394,Melbourne Day Surgery,961 Glenhuntly Road,Caulfield,"-37.8877893,145.0304335"
206,3165,-37.922369 145.059426,"Monash Medical Centre, Moorabbin Campus",865 Centre Road,East Bentleigh,"-37.92081770000001,145.0631279"
209,3168,-37.91342 145.12665,Jessie McPherson Private Hospital,246 Clayton Road,Clayton,"-37.9194208,145.1240246"
210,3168,-37.91342 145.12665,Melbourne Endoscopy Monash Day Hospital (DPC),277 Clayton Road,Clayton,"-37.9214306,145.1201252"
211,3168,-37.91342 145.12665,Monash Health,246 Clayton Road,Clayton,"-37.9194208,145.1240246"
212,3168,-37.91342 145.12665,"Monash Medical Centre, Clayton Campus",246 Clayton Road,Clayton,"-37.9194208,145.1240246"
213,3168,-37.91342 145.12665,Monash Surgical Private Hospital,252-254 Clayton Road,Clayton,"-37.921911,145.120737"
214,3168,-37.91342 145.12665,Sir John Monash Private Hospital,212-220 Clayton Road,Clayton,"-37.9186278,145.1213553"
216,3170,-37.920945 145.167859,Mulgrave Private Hospital,535-559 Police Road,Mulgrave,"-37.9385903,145.2121015"
217,3171,-37.944608 145.156783,Springvale Endoscopy Services,20 Balmoral Avenue,Springvale,"-37.9494974,145.1495907"
220,3174,-37.966218 145.17877,Noble Park Endoscopy Centre,1304 Heatherton Road,Noble Park,"-37.9671065,145.1897207"
221,3174,-37.966218 145.17877,Queen Elizabeth Centre,53 Thomas Street,Noble Park,"-37.9720562,145.1782447"
222,3174,-37.966218 145.17877,South Eastern Private Hospital,313-329 Princes Highway,Noble Park,"-37.9659683,145.1926171"
223,3175,-38.016114 145.208504,Corymbia House,92-94 David Street,Dandenong,"-37.977232,145.21691"
224,3175,-38.016114 145.208504,Dandenong Eye Clinic,1-3 Falkiner Crescent,Dandenong,"-37.9742421,145.2233083"
225,3175,-38.016114 145.208504,Dandenong Hospital,105-135 David Street,Dandenong,"-37.9772138,145.218179"
226,3175,-38.016114 145.208504,Digestive Health Centre,90 David Street,Dandenong,"-37.9774213,145.2166427"
227,3175,-38.016114 145.208504,"St John of God Hospital Pinelodge Clinic, Dandenong",1480 Heatherton Road,Dandenong,"-37.97005600000001,145.2131907"
233,3181,-37.854683 144.995504,Cabrini Prahran,646 High Street,Prahran East,"-37.8542859,145.0088912"
234,3181,-37.854683 144.995504,The Avenue Private Hospital,40 The Avenue,Windsor,"-37.8549885,144.9987927"
235,3181,-37.854683 144.995504,The Victoria Clinic,324 Malvern Road,Prahran,"-37.8474996,144.9975553"
236,3181,-37.854683 144.995504,Windsor Private Hospital,20 The Avenue,Windsor,"-37.8561485,144.9982332"
237,3182,-37.865322 144.979478,Marie Stopes International East St Kilda,338 Dandenong Road,St Kilda East,"-37.8603205,145.0076811"
238,3183,-37.869072 144.999026,Masada Private Hospital,26-28 Balaclava Road,East St Kilda,"-37.869686,145.0031526"
239,3184,-37.881414 144.984034,St Kilda Day Hospital,26A Dickens Street,Elwood,"-37.873151,144.9820731"
240,3185,-37.891841 145.002571,Cabrini Health Elsternwick Rehabilitation Service,494 Glenhuntly Road,Elsternwick,"-37.88634,145.0091661"
241,3185,-37.891841 145.002571,Cabrini Hopetoun Rehabilitation,2-4 Hopetoun Street,Elsternwick,"-37.8850002,145.0101521"
242,3186,-37.915066 144.996329,Brighton Plastic Surgery Centre,206 New Street,Brighton,"-37.9124808,144.9918634"
243,3186,-37.915066 144.996329,Cabrini Brighton,243 New Street,Brighton,"-37.9118899,144.991304"
244,3186,-37.915066 144.996329,Epworth Rehabilitation Brighton,85-91 Wilson Street,Brighton,"-37.9137716,145.0029677"
246,3188,-37.938889 145.007238,Linacre Private Hospital,12-16 Linacre Road,Hampton,"-37.9426749,145.0031863"
247,3189,-37.942021 145.047802,Bayside Endoscopy Day Hospital,441 South Road,Moorabbin,"-37.9329457,145.0367547"
249,3191,-37.956585 145.013472,Sandringham Hospital,193 Bluff Road,Sandringham,"-37.9610523,145.0182493"
250,3192,-37.965655 145.0623,Chesterville Day Hospital,28 Chesterville Road,Cheltenham,"-37.9606602,145.0569606"
251,3192,-37.965655 145.0623,Kingston Centre,400 Warrigal Rd ,Cheltenham,"-37.9553327,145.0787355"
258,3199,-38.162578 145.135961,Bayside Day Procedure and Specialist Centre,141 Cranbourne Road,Frankston,"-38.1482553,145.143382"
259,3199,-38.162578 145.135961,Frankston Hospital,Hastings Rd,Frankston,"-38.1501429,145.1295737"
260,3199,-38.162578 145.135961,Peninsula Endoscopy Centre,17 Yuille Street,Frankston,"-38.1528388,145.1253838"
261,3199,-38.162578 145.135961,Peninsula Health,"c/- Frankston Hospital, Hastings Road",Frankston,"-38.1514184,145.1294675"
262,3199,-38.162578 145.135961,Peninsula Oncology Centre,24-28 Frankston-Flinders Road,Frankston,"-38.1544689,145.1329828"
263,3199,-38.162578 145.135961,Peninsula Private Hospital,49 McClelland Drive,Frankston,"-38.1211749,145.1904732"
264,3199,-38.162578 145.135961,"Southern Eye Centre, Day Surgery and Laser Centre",44 Cranbourne Road,Frankston,"-38.1458771,145.1321085"
265,3199,-38.162578 145.135961,St John of God Frankston Rehabilitation Hospital,255 Cranbourne Road,Frankston,"-38.1530342,145.1559507"
269,3204,-37.916956 145.036783,Bentleigh Surgicentre,155 Jasper Road,Bentleigh,"-37.9202672,145.0410907"
270,3205,-37.831693 144.958176,Albert Road Clinic,31-33 Albert Road,South Melbourne,"-37.8342645,144.9722408"
281,3219,-38.17277 144.389533,The Geelong Clinic,98 Townsend Road,Whittington,"-38.18206259999999,144.3932424"
282,3220,-38.157038 144.34652,Barwon Health,272-322 Ryrie Street,Geelong,"-38.1513113,144.3659659"
283,3220,-38.157038 144.34652,Geelong Private Hospital,272 Ryrie St,Geelong,"-38.1513113,144.3659659"
284,3220,-38.157038 144.34652,Monash IVF Clinic,142 Little Ryrie Street,Geelong,"-38.1517039,144.3636478"
285,3220,-38.157038 144.34652,Specialist Surgicentre Geelong,200 Malop Street,Geelong,"-38.1491529,144.3664453"
286,3220,-38.157038 144.34652,"St John of God Hospital, Geelong",80 Myers Street,Geelong,"-38.1512687,144.3578621"
306,3241,-38.20363 143.892824,Hesse Rural Health Service,8 Gosney Street,Winchelsea,"-38.2432465,143.9855197"
310,3250,-38.311513 143.584742,Colac Area Health,2-28 Conner St,Colac,"-38.340993,143.5821532"
313,3260,-38.209584 143.244766,"South West Healthcare, Camperdown Campus",9 Robinson Street,Camperdown,"-38.2367864,143.138024"
314,3264,-38.232443 142.884394,Terang and Mortlake Health Service,1 Austin Avenue,Terang,"-38.2406102,142.902183"
316,3266,-38.407094 143.133721,Cobden District Health Service Inc.,5 Victoria Street,Cobden,"-38.3324437,143.0760836"
318,3268,-38.535802 142.908911,Timboon and District Healthcare Service,21 Hospital Road,Timboon,"-38.4861894,142.9768246"
330,3280,-38.37884 142.482889,South West Healthcare,Ryot Street,Warrnambool,"-38.3788959,142.4749675"
331,3280,-38.37884 142.482889,"South West Healthcare, Warrnambool Campus",Ryot Street,Warrnambool,"-38.3788959,142.4749675"
332,3280,-38.37884 142.482889,"St John of God Hospital, Warrnambool",136 Botanic Road,Warrnambool,"-38.3716646,142.4783381"
336,3284,-38.270398 142.119266,Moyne Health Services,Villiers Street,Port Fairy,"-38.383194,142.2275249"
344,3300,-37.743155 142.013356,Western District Health Service,20 Foster Street,Hamilton,"-37.7371413,142.0305623"
348,3304,-38.182084 141.952156,Heywood Rural Health,21 Barclay Street,Heywood,"-38.136992,141.6247148"
349,3305,-38.235475 141.437227,Portland District Health,Bentinck Street,Portland,"-38.3453172,141.6063886"
352,3311,-37.468159 141.229722,Casterton Memorial Hospital,63-69 Russell Street,Casterton,"-37.5900342,141.3925806"
355,3315,-37.408371 141.687516,"Western District Health Service, Coleraine Campus",71 McLeod Street,Coleraine,"-37.5996704,141.6920629"
357,3318,-37.025316 141.269571,Grampians Health [Edenhope and District Hospital],128-134 Elizabeth Street,Edenhope,"-37.0356022,141.2888594"
373,3337,-37.65724033 144.5462424,Melton Health,195-209 Barries Road,Melton,"-37.68685019999999,144.5576761"
375,3340,-37.787135 144.394442,Western Health [Djerriwarrh Health Services],Lot 4 Grant Street,Bacchus Marsh,"-37.6760501,144.4354389"
377,3342,-37.651463 144.239102,Ballan District Health and Care,33 Cowie Street,Ballan,"-37.59978479999999,144.2223631"
379,3350,-37.571941 143.864505,"St John of God Hospital, Ballarat",101 Drummond Street North,Ballarat,"-37.5582887,143.847369"
382,3353,-37.7778 144.835743,Grampians Health [Ballarat Health Services],Drummond Street North,Ballarat,"-37.5554488,143.8484246"
384,3355,-37.530285 143.82561,Ballarat Day Procedure Centre,1119/1123 Howitt Street,Ballarat,"-37.5408632,143.8321883"
394,3373,-37.457785 143.343429,Beaufort and Skipton Health Service,28 Havelock Street,Beaufort,"-37.4309395,143.3823655"
397,3377,-37.231524 142.956916,East Grampians Health Service,Lot 5B Girdlestone Street ,Ararat,"-37.2790462,142.9327785"
400,3380,-37.0666 142.771159,Grampians Health [Stawell Regional Health],27-29 Sloane Street ,Stawell,"-37.0588492,142.7809009"
409,3393,-36.257725 142.387341,Rural Northwest Health,Lot 1 Dimboola Road,Warracknabeal,"-36.2537958,142.3858333"
413,3400,-36.725245 142.203729,Grampians Health [Wimmera Health Care Group],83 Baillie Street,Horsham,"-36.7126524,142.2088201"
422,3418,-36.074144 141.538074,West Wimmera Health Service,49 Nelson Street,Nhill,"-36.3337613,141.6552195"
429,3429,-37.56762 144.728973,Sunbury Day Hospital,Macedon,Sunbury,"-37.5799088,144.7351341"
445,3450,-37.061635 144.214903,Dhelkaya Health [Castlemaine Health],142 Cornish Street,Castlemaine,"-37.05223180000001,144.2122356"
449,3460,-37.351704 144.144216,Central Highlands Rural Health,13 Hospital Street,Daylesford,"-37.3374196,144.1465291"
452,3463,-36.957983 144.05651,Dhelkaya Health [Maldon Hospital],Chapel Street,Maldon,"-36.9910449,144.0636284"
454,3465,-37.021478 143.611335,Maryborough District Health Service,75-87 Clarendon St,Maryborough,"-37.0451603,143.7384714"
461,3478,-36.688551 143.230699,East Wimmera Health Service,52 North Western Road,St Arnaud,"-36.6095315,143.2466059"
469,3490,-35.62103426 141.4849679,Mallee Track Health and Community Service,28 Britt Street,Ouyen,"-35.0745228,142.3124152"
474,3500,-34.1931 142.154161,Mildura Private Hospital,220 Thirteenth Street,Mildura,"-34.1850441,142.1453769"
484,3517,-36.483116 143.886832,Inglewood and District Health Service,3 Hospital Street,Inglewood,"-36.5722632,143.8738929"
489,3523,-36.837461 144.768359,Heathcote Health,39 Hospital Street,Heathcote,"-36.9265035,144.7093934"
496,3537,-36.079335 143.744455,Boort District Health,31 Kiniry Street,Boort,"-36.1118062,143.7278359"
501,3549,-34.766049 142.820973,Robinvale District Health Services,128-132 Latje Road,Robinvale,"-34.5841137,142.7810854"
502,3550,-36.764269 144.285267,Appearance Medical Centre,57 Garsed Street,Bendigo,"-36.765123,144.2797671"
503,3550,-36.764269 144.285267,Bendigo Day Surgery,1-7 Chum Street,Bendigo,"-36.7622016,144.261545"
504,3550,-36.764269 144.285267,Bendigo Health,62 Lucan St ,Bendigo,"-36.7492527,144.284141"
505,3550,-36.764269 144.285267,"St John of God Hospital, Bendigo",133-145 Lily Street ,Bendigo,"-36.7620899,144.2632361"
514,3561,-36.321109 144.709543,Rochester and Elmore District Health Service,1 Pascoe Street,Rochester,"-36.3658135,144.6979363"
517,3564,-36.18096611 144.6014151,Echuca Regional Health,9-27 Frances Street,Echuca,"-36.1381961,144.7488192"
521,3568,-35.809462 144.184089,Cohuna District Hospital,144-158 King George Street,Cohuna,"-35.8001404,144.214509"
528,3579,-35.767974 143.769445,Kerang District Health,13 Burgoyne Street,Kerang,"-35.724085,143.9184734"
533,3585,-35.348388 143.336906,Swan Hill District Health,48 Splatt Street,Swan Hill,"-35.3401872,143.556462"
545,3608,-36.740713 145.095753,Nagambie HealthCare,22 Church Street,Nagambie,"-36.780532,145.15046"
553,3620,-36.284584 145.082735,Kyabram District Health Service,88 Fenaughty Street,Kyabram,"-36.31558,145.0423611"
559,3630,-36.380853 145.403176,Goulburn Valley Health,2 Graham Street,Shepparton,"-36.3626385,145.4046543"
560,3630,-36.380853 145.403176,Shepparton Private Hospital,20 Fitzgerald Street,Shepparton,"-36.3589924,145.4113226"
566,3636,-36.093878 145.479471,NCN Health,2 Katamatitie Road,Numurkah,"-36.0883415,145.442323"
579,3660,-37.035925 145.257867,Seymour Health,Lot 2 Bretonneux Street ,Seymour,"-37.0186576,145.139496"
585,3666,-36.786777 145.565512,Euroa Health Inc,36 Kennedy Street,Euroa,"-36.7593438,145.5702708"
589,3672,-36.554936 145.977761,Benalla Health,45-63 Coster Street,Benalla,"-36.555396,145.9946077"
593,3677,-36.358017 146.330564,Northeast Health Wangaratta,35-47 Green Street,Wangaratta,"-36.3543538,146.3142727"
